servo1 servo2 servo3 distance row column
121 6 90 305 3 54
119 6 90 303 3 53
117 6 90 298 3 52
114 6 90 294 3 51
112 6 90 292 3 50
110 6 90 283 3 49
108 6 90 230 3 48
105 6 90 229 3 47
103 6 90 227 3 46
101 6 90 226 3 45
99 6 90 226 3 44
96 6 90 225 3 43
94 6 90 224 3 42
92 6 90 225 3 41
90 6 90 226 3 40
87 6 90 227 3 39
85 6 90 228 3 38
83 6 90 228 3 37
81 6 90 230 3 36
78 6 90 232 3 35
76 6 90 235 3 34
74 6 90 237 3 33
72 6 90 241 3 32
69 6 90 244 3 31
67 6 90 251 3 30
65 6 90 253 3 29
63 6 90 259 3 28
60 6 90 265 3 27
58 6 90 274 3 26
56 6 90 278 3 25
54 6 90 287 3 24
51 6 90 297 3 23
49 6 90 310 3 22
47 6 90 319 3 21
45 6 90 60 3 20
42 6 90 53 3 19
40 6 90 51 3 18
38 6 90 54 3 17
36 6 90 23 3 16
33 6 90 452 3 15
31 6 90 454 3 14
29 6 90 48 3 13
27 6 90 44 3 12
24 6 90 48 3 11
22 6 90 47 3 10
20 6 90 50 3 9
18 6 90 54 3 8
15 6 90 53 3 7
13 6 90 53 3 6
11 6 90 52 3 5
9 6 90 52 3 4
6 6 90 51 3 3
4 6 90 51 3 2
2 6 90 102 3 1
0 6 90 103 3 0
0 9 90 375 4 0
2 9 90 376 4 1
4 9 90 376 4 2
6 9 90 371 4 3
9 9 90 350 4 4
11 9 90 144 4 5
13 9 90 129 4 6
15 9 90 149 4 7
18 9 90 148 4 8
20 9 90 138 4 9
22 9 90 157 4 10
24 9 90 47 4 11
27 9 90 47 4 12
29 9 90 45 4 13
31 9 90 47 4 14
33 9 90 50 4 15
36 9 90 446 4 16
38 9 90 416 4 17
40 9 90 54 4 18
42 9 90 53 4 19
45 9 90 56 4 20
47 9 90 59 4 21
49 9 90 323 4 22
51 9 90 316 4 23
54 9 90 305 4 24
56 9 90 291 4 25
58 9 90 284 4 26
60 9 90 278 4 27
63 9 90 270 4 28
65 9 90 261 4 29
67 9 90 511 4 30
69 9 90 252 4 31
72 9 90 247 4 32
74 9 90 242 4 33
76 9 90 239 4 34
78 9 90 236 4 35
81 9 90 232 4 36
83 9 90 230 4 37
85 9 90 229 4 38
87 9 90 227 4 39
90 9 90 227 4 40
92 9 90 226 4 41
94 9 90 225 4 42
96 9 90 225 4 43
99 9 90 224 4 44
101 9 90 224 4 45
103 9 90 225 4 46
105 9 90 227 4 47
108 9 90 228 4 48
110 9 90 229 4 49
